        1 [0x00400000]	0x8fa40000  lw $4, 0($29)                   ; exceptions.s:183: lw $a0 0($sp)		# argc
        1 [0x00400004]	0x27a50004  addiu $5, $29, 4                ; exceptions.s:184: addiu $a1 $sp 4		# argv
        1 [0x00400008]	0x24a60004  addiu $6, $5, 4                 ; exceptions.s:185: addiu $a2 $a1 4		# envp
        1 [0x0040000c]	0x00041080  sll $2, $4, 2                   ; exceptions.s:186: sll $v0 $a0 2
        1 [0x00400010]	0x00c23021  addu $6, $6, $2                 ; exceptions.s:187: addu $a2 $a2 $v0
        1 [0x00400014]	0x0c100009  jal 0x00400024 [main]           ; exceptions.s:188: jal main
        0 [0x00400018]	0x00000000  nop                             ; exceptions.s:189: nop
        0 [0x0040001c]	0x3402000a  ori $2, $0, 10                  ; exceptions.s:191: li $v0 10
        0 [0x00400020]	0x0000000c  syscall                         ; exceptions.s:192: syscall			# syscall 10 (exit)
        1 [0x00400024]	0x34088000  ori $8, $0, -32768              ; spimbot.s:96: li     $t0, TIMER_MASK
        1 [0x00400028]	0x35081000  ori $8, $8, 4096                ; spimbot.s:97: or     $t0, $t0, BONK_MASK
        1 [0x0040002c]	0x35080001  ori $8, $8, 1                   ; spimbot.s:98: or     $t0, $t0, 1
        1 [0x00400030]	0x40886000  mtc0 $8, $12                    ; spimbot.s:99: mtc0   $t0, $12                      # Enable timer and bonk interrupts
        1 [0x00400034]	0x3408000a  ori $8, $0, 10                  ; spimbot.s:101: li     $t0, 10
        1 [0x00400038]	0x3c01ffff  lui $1, -1                      ; spimbot.s:102: sw     $t0, VELOCITY                 # SET_VELCOITY(10)
        1 [0x0040003c]	0xac280010  sw $8, 16($1)
        1 [0x00400040]	0x3c01ffff  lui $1, -1                      ; spimbot.s:104: lw     $t0, TIMER
        1 [0x00400044]	0x8c28001c  lw $8, 28($1)
        1 [0x00400048]	0x210807d0  addi $8, $8, 2000               ; spimbot.s:105: add    $t0, $t0, TIMER_FREQ
        1 [0x0040004c]	0x3c01ffff  lui $1, -1                      ; spimbot.s:106: sw     $t0, TIMER                    # REQUEST_TIMER(TIMER() + 10)
